<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20251110,7.95,8.06,7.8,7.8,1472100
AAA,20251107,8.12,8.14,7.93,7.95,1041500
AAA,20251106,8.08,8.15,8.04,8.12,1203900
AAA,20251105,8.09,8.15,8.03,8.07,943700
AAA,20251104,8,8.3,7.79,8.12,3018700
AAA,20251103,8.15,8.19,8,8,2105000
AAA,20251031,8.23,8.31,8.15,8.15,1616900
AAA,20251030,8.12,8.3,8.08,8.23,3368300
AAA,20251029,7.75,8.08,7.75,8.04,2962000
AAA,20251028,7.59,7.65,7.51,7.61,1169000
AAA,20251027,7.65,7.75,7.59,7.59,794400
AAA,20251024,7.7,7.7,7.55,7.64,879600
AAA,20251023,7.67,7.79,7.67,7.69,927400
AAA,20251022,7.65,7.65,7.52,7.63,880100
AAA,20251021,7.44,7.67,7.39,7.55,3762900
AAA,20251020,7.92,8.02,7.39,7.39,3842100
AAA,20251017,8,8.04,7.94,7.94,1350800
AAA,20251016,8,8.04,7.94,7.98,1556600
AAA,20251015,7.99,8.07,7.94,7.95,2200000
AAA,20251014,8.14,8.18,7.99,7.99,2694200
AAA,20251013,8.12,8.2,8.1,8.12,2528900
AAA,20251010,8.23,8.28,8.15,8.22,1530500
AAA,20251009,8.2,8.3,8.19,8.22,979100
AAA,20251008,8.25,8.27,8.14,8.2,1265900
AAA,20251007,8.37,8.37,8.18,8.18,1468400
AAA,20251006,8.2,8.32,8.16,8.31,2154200
AAA,20251003,8.17,8.21,8.08,8.15,1722900
AAA,20251002,8.38,8.44,8.13,8.17,1838500
AAA,20251001,8.25,8.38,8.19,8.38,1208200
AAA,20250930,8.45,8.45,8.14,8.2,3446700
AAA,20250929,8.62,8.62,8.35,8.4,2455300
AAA,20250926,8.2,8.69,8.11,8.59,10328400
AAA,20250925,8.15,8.27,8.11,8.21,1661100
AAA,20250924,8.1,8.13,8.04,8.11,1161200
AAA,20250923,8.04,8.1,8.04,8.09,575900
AAA,20250922,8.13,8.18,8,8.03,2163300
AAA,20250919,8.18,8.21,8.12,8.13,1267000
AAA,20250918,8.3,8.31,8.17,8.18,2010700
AAA,20250917,8.27,8.43,8.23,8.27,2763600
AAA,20250916,8.38,8.4,8.22,8.22,2591400
AAA,20250915,8.18,8.35,8.15,8.35,3097100
AAA,20250912,8.04,8.14,8.01,8.12,1958600
AAA,20250911,8.06,8.1,7.9,7.98,2394500
AAA,20250910,8.08,8.12,8,8.06,1059400
AAA,20250909,8,8.12,7.93,8.01,2604300
AAA,20250908,8.16,8.25,7.99,8,3740800
AAA,20250905,8.35,8.49,8.16,8.16,4177700
AAA,20250904,8.26,8.39,8.25,8.3,2729900
AAA,20250903,8.16,8.26,8.14,8.22,2178600
AAA,20250829,8.16,8.2,8.11,8.12,1981100
AAA,20250828,8.11,8.18,8.1,8.17,1178500
AAA,20250827,8.09,8.19,8.06,8.08,2474100
AAA,20250826,7.9,8.01,7.89,8.01,1555700
AAA,20250825,8,8,7.85,7.91,2071200
AAA,20250822,8.02,8.02,7.8,7.87,4426800
AAA,20250821,8.29,8.29,8,8.05,4266300
AAA,20250820,8.52,8.52,8,8.2,5298100
AAA,20250819,8.47,8.64,8.41,8.5,3300500
AAA,20250818,8.45,8.52,8.36,8.45,3928100
AAA,20250815,8.8,8.83,8.4,8.42,7460800
AAA,20250814,8.85,8.93,8.73,8.76,5809800
AAA,20250813,8.6,8.75,8.5,8.75,5596200
AAA,20250812,8.71,8.73,8.5,8.54,5024200
AAA,20250811,8.8,8.8,8.61,8.68,3718200
AAA,20250808,8.55,8.82,8.53,8.61,5349700
AAA,20250807,8.55,8.65,8.48,8.54,3575600
AAA,20250806,8.43,8.54,8.4,8.45,2830500
AAA,20250805,8.6,8.66,8.15,8.38,8710500
AAA,20250804,8.55,8.69,8.4,8.6,3821600
AAA,20250801,8.9,8.9,8.45,8.51,5356600
AAA,20250731,8.7,8.92,8.64,8.8,12026000
AAA,20250730,7.8,8.34,7.79,8.34,8540800
AAA,20250729,8.28,8.35,7.8,7.8,7724700
AAA,20250728,8.17,8.3,8.16,8.21,4830200
AAA,20250725,8.25,8.3,8.12,8.14,4322400
AAA,20250724,8,8.4,8,8.24,6240400
AAA,20250723,7.77,7.89,7.74,7.89,5108600
AAA,20250722,7.68,7.73,7.62,7.68,2312700
AAA,20250721,7.76,7.84,7.68,7.68,3726500
AAA,20250718,7.87,7.9,7.74,7.76,3295400
AAA,20250717,7.65,7.84,7.65,7.77,4709400
AAA,20250716,7.62,7.72,7.55,7.63,2488100
AAA,20250715,7.6,7.74,7.59,7.62,3400200
AAA,20250714,7.59,7.62,7.4,7.56,2572500
AAA,20250711,7.74,7.77,7.56,7.57,3808200
AAA,20250710,7.56,7.74,7.52,7.7,5850400
AAA,20250709,7.44,7.54,7.4,7.47,3756600
AAA,20250708,7.35,7.48,7.34,7.39,4598500
AAA,20250707,7.24,7.33,7.22,7.28,3164600
AAA,20250704,7.23,7.27,7.19,7.21,1315100
AAA,20250703,7.28,7.28,7.18,7.2,1855800
AAA,20250702,7.17,7.25,7.17,7.23,2582300
AAA,20250701,7.22,7.26,7.15,7.15,1417500
AAA,20250630,7.18,7.34,7.18,7.25,1439000
AAA,20250627,7.16,7.21,7.15,7.17,1683300
AAA,20250626,7.2,7.2,7.13,7.16,897900
AAA,20250625,7.18,7.23,7.12,7.17,1348900
AAA,20250624,7.12,7.19,7.1,7.14,1312500
AAA,20250623,7.14,7.14,7.06,7.08,1759700
AAA,20250620,7.16,7.18,7.12,7.15,1246300
AAA,20250619,7.19,7.2,7.13,7.16,691600
AAA,20250618,7.24,7.27,7.18,7.2,993000
AAA,20250617,7.16,7.31,7.15,7.24,1777600
AAA,20250616,7.05,7.16,7.04,7.14,1051200
AAA,20250613,7.2,7.2,7,7.05,3290200
AAA,20250612,7.2,7.3,7.2,7.23,1121400
AAA,20250611,7.2,7.23,7.16,7.18,692900
AAA,20250610,7.21,7.28,7.17,7.17,1182900
AAA,20250609,7.35,7.36,7.2,7.2,2091800
